|                  object|        ra|      dec|
|                    char|    double|   double|
|                        |          |         |
|                    null|      null|     null|
 SDSS J094703.20-004837.5 146.763397  -0.81043 
 SDSS J094749.45-002032.2 146.956069   -0.3423 
 SDSS J094434.45-004429.8 146.143586  -0.74164 
 SDSS J094656.91-001507.9 146.737122  -0.25218 
 SDSS J094313.52-003249.4 145.806381  -0.54706 
 SDSS J094529.71-002206.4  146.37378  -0.36839 
 SDSS J094446.19-003029.7 146.192475  -0.50828 
 SDSS J094224.27-000004.9 145.601196  -0.00139 
 SDSS J094312.04+002451.0 145.800186   0.41417 
 SDSS J094551.11+003819.3 146.462997   0.63871 
 SDSS J094529.66+001520.0 146.373627   0.25554 
 SDSS J094634.48+002802.1 146.643768   0.46721 
 SDSS J094713.63+003956.2 146.806792   0.66564 
 SDSS J094711.78+004209.6 146.799087   0.70274 
 SDSS J094707.56+004416.6 146.781494   0.73798 
 SDSS J094819.31+004716.9 147.080505   0.78802 
 SDSS J094224.53+010858.8 145.602234   1.14969 
 SDSS J094620.22+010452.0 146.584259   1.08112 
 SDSS J095425.58-005543.2 148.606582  -0.92869 
 SDSS J095640.77-000123.9 149.169876  -0.02334 
 SDSS J095343.80-010135.1 148.432496  -1.02641 
 SDSS J095257.04-004731.0 148.237671  -0.79198 
 SDSS J095436.06-000334.3 148.650269  -0.05954 
 SDSS J095050.05-005315.8 147.708573  -0.88775 
 SDSS J095127.12-002415.3 147.863037  -0.40425 
 SDSS J094942.78-005024.2 147.428283  -0.84008 
 SDSS J094849.85-011109.0 147.207702   -1.1859 
 SDSS J095120.71+010418.4 147.836304   1.07177 
 SDSS J095256.01+002127.7 148.233399   0.35774 
 SDSS J095330.43+002655.0 148.376801   0.44867 
 SDSS J100152.94-000730.5 150.470625  -0.12518 
 SDSS J095709.29+000032.9 149.288697   0.00917 
 SDSS J095548.36+003324.9 148.951522   0.55692 
 SDSS J095721.25+004223.1 149.338578   0.70646 
 SDSS J095725.12+004351.3 149.354706   0.73094 
 SDSS J095734.74+001419.1 149.394761   0.23865 
 SDSS J095835.38+004434.0 149.647446   0.74278 
 SDSS J100527.16-005228.6  151.36317  -0.87462 
 SDSS J100424.25-005755.2  151.10106  -0.96533 
 SDSS J100521.52+000518.7 151.339695   0.08856 
 SDSS J100152.88-005240.9  150.47037  -0.87805 
 SDSS J095939.08-011452.7 149.912842  -1.24796 
 SDSS J100212.30+001107.2  150.55128   0.18535 
 SDSS J100322.71+005025.5 150.844575   0.84048 
 SDSS J100525.03+001404.8 151.354335   0.23467 
 SDSS J100533.45+001759.4  151.38942   0.29982 
 SDSS J100653.44+003529.0 151.722735   0.59145 
 SDSS J100820.82+000941.1 152.086725   0.16141 
 SDSS J101346.81-005451.3  153.44508  -0.91422 
 SDSS J101239.88-010622.7  153.16614  -1.10635 
 SDSS J100834.70+000259.8  152.14458   0.04996 
 SDSS J100948.18+002902.8 152.450775   0.48412 
 SDSS J101416.16+001824.7 153.567375   0.30685 
 SDSS J101954.94-010849.2 154.978935   -1.1471 
 SDSS J101834.47-005022.7  154.64364  -0.83961 
 SDSS J101756.52-011430.9 154.485465  -1.24189 
 SDSS J101944.27-003817.8  154.93443  -0.63837 
 SDSS J101516.23-010740.0  153.81759  -1.12777 
 SDSS J101353.29-011140.1 153.472065  -1.19447 
 SDSS J101420.29-002948.4  153.58455  -0.49679 
 SDSS J101423.60-000439.7  153.59829  -0.07771 
 SDSS J101537.59+003131.1 153.906645   0.52533 
 SDSS J101653.82+002857.0  154.22424   0.48254 
 SDSS J101806.67+000559.7  154.52778   0.09995 
 SDSS J101937.94+001955.7  154.90809   0.33215 
 SDSS J102210.14+002421.6  155.54229   0.40604 
 SDSS J102931.58-002846.4 157.381605  -0.47957 
 SDSS J102500.81-004044.0  156.25341  -0.67887 
 SDSS J102459.39-000727.5 156.247455  -0.12431 
 SDSS J101922.73+004527.9   154.8447   0.75779 
 SDSS J102018.91+003343.6  155.07879    0.5621 
 SDSS J102100.08+000750.7 155.250345   0.13077 
 SDSS J102218.28+003050.6  155.57619   0.51408 
 SDSS J102442.58+011020.6  156.17742   1.17241 
 SDSS J102848.23+005204.7 157.200975   0.86799 
 SDSS J103515.02-002431.1 158.812575  -0.40864 
 SDSS J102907.66-010927.9   157.2819  -1.15773 
 SDSS J102630.13-003553.6  156.62559  -0.59821 
 SDSS J102924.09+004424.5  157.35039   0.74015 
 SDSS J102820.98+000518.0 157.087455   0.08833 
 SDSS J103041.21+004717.4  157.67175   0.78818 
 SDSS J103135.16+002831.3  157.89648   0.47538 
 SDSS J103333.15+010635.1 158.388105   1.10977 
 SDSS J103605.76+000606.8  159.02403   0.10189 
 SDSS J104131.94-002733.2 160.383105  -0.45926 
 SDSS J104129.08-003800.0  160.37121  -0.63334 
 SDSS J103909.34-004715.8 159.788925  -0.78773 
 SDSS J103915.70-003916.9 159.815415  -0.65472 
 SDSS J103743.34-003916.8 159.430575  -0.65468 
 SDSS J103644.35-011051.0 159.184815   -1.1808 
 SDSS J103938.46+003046.6 159.910275   0.51296 
 SDSS J104301.66+010654.7 160.756905   1.11521 
 SDSS J104850.06-011226.7 162.208605  -1.20746 
 SDSS J104926.46-000347.6  162.36024  -0.06321 
 SDSS J104716.72-011027.7  161.81973  -1.17436 
 SDSS J104732.55-001535.7 161.885595  -0.25991 
 SDSS J104650.98-000115.1 161.712465  -0.02087 
 SDSS J104537.30+000116.4  161.40543   0.02124 
 SDSS J104059.68-003447.9 160.248675     -0.58 
 SDSS J104455.09+005655.6  161.22957   0.94879 
 SDSS J104914.08+005945.2 162.308715   0.99589 
 SDSS J105112.35-011510.4  162.80148  -1.25288 
 SDSS J104921.13-004005.0  162.33807  -0.66806 
 SDSS J104926.55+005609.6  162.36066   0.93598 
 SDSS J105158.98+005045.1 162.995745   0.84588 
 SDSS J105151.83+010310.8 162.965985   1.05298 
 SDSS J104958.85+001920.2 162.495225   0.32231 
 SDSS J110554.15-000950.0  166.47564  -0.16392 
 SDSS J110350.09-003606.0  165.95871  -0.60168 
 SDSS J110231.30-002625.2  165.63042  -0.44033 
 SDSS J110224.27-000353.9  165.60111  -0.06496 
 SDSS J110152.25-002336.2 165.467715  -0.39337 
 SDSS J110218.66-000738.7  165.57774  -0.12741 
 SDSS J110039.49-010458.3  165.16458  -1.08287 
 SDSS J105928.89-010138.7 164.870355  -1.02745 
 SDSS J105857.21-011259.6   164.7384   -1.2165 
 SDSS J105532.08+003101.8 163.883685   0.51716 
 SDSS J110001.05+010644.0  165.00438   1.11225 
 SDSS J110346.60-000109.0 165.944175  -0.01919 
 SDSS J110356.15+002236.2 165.983955   0.37677 
 SDSS J110457.06+002958.6 166.237755   0.49963 
 SDSS J111100.60-005334.9  167.75253  -0.89301 
 SDSS J111057.40-004931.0  167.73918  -0.82524 
 SDSS J110933.37-003605.1 167.389065  -0.60143 
 SDSS J110925.31-000551.7 167.355435  -0.09773 
 SDSS J110900.27-003321.8 167.251125  -0.55606 
 SDSS J110650.51-004840.3 166.710525  -0.81119 
 SDSS J110651.14-005955.9 166.713105  -0.99888 
 SDSS J110855.77+002641.3 167.232405    0.4448 
 SDSS J110901.83+004421.4  167.25765    0.7393 
 SDSS J112119.90-001320.9  170.33298  -0.22246 
 SDSS J112024.82-000903.0  170.10342  -0.15082 
 SDSS J111832.78-004106.4 169.636605  -0.68511 
 SDSS J111519.14+002307.9 168.829755   0.38554 
 SDSS J111549.40+005137.4  168.95589   0.86041 
 SDSS J111717.53+000633.6 169.323075   0.10933 
 SDSS J111741.29+010608.9  169.42206   1.10246 
 SDSS J111807.48+002734.9 169.531155   0.45972 
 SDSS J112109.60+001242.7  170.29005   0.21187 
 SDSS J111955.48-005246.7 169.981065  -0.87999 
 SDSS J111732.89-001114.9 169.387065   -0.1875 
 SDSS J112005.43+001634.0  170.02263    0.2761 
 SDSS J113105.07-004626.1 172.771155  -0.77393 
 SDSS J113229.91-003238.5  173.12466  -0.54406 
 SDSS J112735.09-000722.1  171.89622  -0.12283 
 SDSS J112723.97+000758.2  171.84984   0.13289 
 SDSS J112621.12-001430.9 171.588015  -0.24194 
 SDSS J112754.35-011331.2  171.97674   -1.2257 
 SDSS J112754.35-011331.2  171.97674   -1.2257 
 SDSS J112754.35-011331.2 171.976455  -1.22533 
 SDSS J112754.35-011331.2 171.976455  -1.22533 
 SDSS J112757.53-011240.2 171.989715  -1.21115 
 SDSS J112546.24+001312.6  171.44268   0.22016 
 SDSS J112904.17+010711.1 172.267395   1.11976 
 SDSS J113213.45+004909.4 173.056095   0.81927 
 SDSS J113221.88+004808.2 173.091315   0.80232 
 SDSS J113122.65+010805.7  172.84437   1.13494 
 SDSS J113833.27-011104.1 174.638625  -1.18451 
 SDSS J113522.94-011519.6 173.845605  -1.25548 
 SDSS J113434.61-001654.5 173.644215  -0.28181 
 SDSS J113409.22+003409.0  173.53845   0.56919 
 SDSS J113414.90-000139.7  173.56209  -0.02769 
 SDSS J113537.17+004442.4 173.904855   0.74513 
 SDSS J113738.61+010746.7  174.41088   1.12964 
 SDSS J114448.39-010930.5 176.201655  -1.15852 
 SDSS J114203.40+005135.8 175.514235   0.85996 
 SDSS J115534.42-011416.7  178.89342  -1.23798 
 SDSS J115547.47-001850.8 178.947795  -0.31412 
 SDSS J115513.65-003133.9 178.806885   -0.5261 
 SDSS J115226.38-002928.0  178.10994  -0.49113 
 SDSS J115029.75-005313.6  177.62394   -0.8871 
 SDSS J115018.72-003631.3 177.578025  -0.60869 
 SDSS J114658.60+003013.6  176.74422    0.5038 
 SDSS J115020.83+010423.0  177.58677   1.07313 
 SDSS J115143.34+010444.0   177.9306    1.0789 
 SDSS J115145.73+011239.2   177.9405   1.21086 
 SDSS J115404.55-001009.8  178.51899  -0.16941 
 SDSS J115433.41+005800.9   178.6392   0.96692 
 SDSS J115647.00+000203.2  179.19582   0.03422 
 SDSS J120304.43-000727.4 180.768465  -0.12429 
 SDSS J120146.36-002915.3 180.443175  -0.48761 
 SDSS J120143.66-001104.1  180.43194  -0.18451 
 SDSS J120140.78-001208.4  180.41994  -0.20237 
 SDSS J120106.19-000701.5  180.27579  -0.11712 
 SDSS J120028.87-000724.8 180.120315  -0.12356 
 SDSS J115941.62-003153.9 179.923425  -0.53164 
 SDSS J115912.88-003125.7  179.80368  -0.52381 
 SDSS J115757.30-005726.3  179.48877  -0.95734 
 SDSS J115706.34-005837.9  179.27646  -0.97721 
 SDSS J115657.01+010657.1 179.237535   1.11589 
 SDSS J115705.93+010731.8  179.27475   1.12558 
 SDSS J115821.30+003706.1  179.58873   0.61836 
 SDSS J120031.06+001927.1  180.12945   0.32421 
 SDSS J120202.14+003306.0  180.50892   0.55166 
 SDSS J115821.31+005707.5 179.588775   0.95206 
 SDSS J120925.21-005751.2 182.355105  -0.96423 
 SDSS J120143.66-001114.0  180.43191  -0.18723 
 SDSS J120149.30-003033.9  180.45543  -0.50945 
 SDSS J120036.02-003136.8  180.15009  -0.52691 
 SDSS J120342.49+010154.6  180.92706    1.0318 
 SDSS J120446.96+010925.1 181.195665   1.15699 
 SDSS J120601.45+003500.7 181.506105   0.58353 
 SDSS J120720.60+000542.2  181.83576   0.09503 
 SDSS J120644.75+003145.4  181.68645    0.5293 
 SDSS J120731.02+001425.5  181.87926   0.24043 
 SDSS J120854.55+010103.8  182.22732   1.01777 
 SDSS J121649.10-004430.4 184.204605  -0.74176 
 SDSS J121758.73-002946.3  184.49472  -0.49617 
 SDSS J121302.39-003925.9 183.259995  -0.65724 
 SDSS J121103.29-002005.3 182.763705  -0.33479 
 SDSS J121406.73+002635.0 183.528045   0.44303 
 SDSS J121434.42+004727.8  183.64347   0.79107 
 SDSS J121622.18-000328.3  184.09245  -0.05784 
 SDSS J121630.29+004125.4  184.12623   0.69041 
 SDSS J121700.95-004333.7  184.25397    -0.726 
 SDSS J121424.03-003206.3 183.600165  -0.53509 
 SDSS J121906.53+000138.6 184.777245   0.02742 
 SDSS J121905.57+001416.4 184.773225   0.23791 
 SDSS J121925.48+004052.0  184.85619   0.68112 
 SDSS J122032.81+000417.4 185.136705   0.07151 
 SDSS J122320.43+000949.9  185.83515   0.16388 
 SDSS J122759.99-004914.4 186.999975  -0.82066 
 SDSS J122708.11-001939.3  186.78381  -0.32758 
 SDSS J122644.88-003717.8  186.68703   -0.6216 
 SDSS J122529.21-005629.3   186.3717  -0.94147 
 SDSS J122314.50-001522.1   185.8104  -0.25612 
 SDSS J122107.48+001442.9 185.281185   0.24525 
 SDSS J122310.67+003603.5  185.79447     0.601 
 SDSS J122529.26+004334.3 186.371955    0.7262 
 SDSS J122801.13+001844.1  187.00473   0.31227 
 SDSS J123023.39+005121.9 187.597485    0.8561 
 SDSS J123745.87-011417.2  189.44112  -1.23813 
 SDSS J123622.94-005203.5 189.095595  -0.86765 
 SDSS J123613.06-010619.9  189.05445   -1.1056 
 SDSS J123510.91-001320.1  188.79549  -0.22226 
 SDSS J123246.00-005524.8 188.191695  -0.92355 
 SDSS J123325.88-000548.9 188.357865  -0.09692 
 SDSS J123451.69+005158.6  188.71536   0.86632 
 SDSS J123904.22+005816.2 189.767625   0.97114 
 SDSS J124446.19-010109.3 191.192535  -1.01928 
 SDSS J124325.94-011035.7  190.85805  -1.17659 
 SDSS J124307.88-010817.4 190.782825   -1.1382 
 SDSS J124454.50-002640.2 191.227095   -0.4445 
 SDSS J124453.79-003325.4  191.22414  -0.55708 
 SDSS J123941.13-011334.3  189.92139  -1.22623 
 SDSS J124108.42+004222.2  190.28511   0.70621 
 SDSS J124036.64+011228.5  190.15266   1.20793 
 SDSS J124257.06+001012.8  190.73778    0.1702 
 SDSS J124321.32+005923.7 190.838835   0.98992 
 SDSS J124651.21+001749.3 191.713395   0.29699 
 SDSS J124634.49+000743.9 191.643705   0.12886 
 SDSS J124602.53+011318.7  191.51052   1.22189 
 SDSS J124358.35-005845.4 190.993155  -0.97928 
 SDSS J125252.17-010326.0  193.21737  -1.05724 
 SDSS J125100.31-010541.0  192.75129  -1.09471 
 SDSS J124859.91-010935.3 192.249675  -1.15985 
 SDSS J124801.27+011157.2 192.005385   1.19926 
 SDSS J124850.35+002948.5  192.20979   0.49682 
 SDSS J125042.44+001957.3  192.67683   0.33263 
 SDSS J125059.73+000210.0  192.74889   0.03613 
 SDSS J125027.42+001345.5  192.61428   0.22934 
 SDSS J125323.87+010158.6  193.34949   1.03294 
 SDSS J130203.59-005012.3 195.514965  -0.83675 
 SDSS J130027.21-003231.4  195.11337  -0.54205 
 SDSS J125740.45+000007.6  194.41857   0.00212 
 SDSS J125715.15-003927.5  194.31312  -0.65762 
 SDSS J125550.12+002118.6  193.95882   0.35519 
 SDSS J125558.63+002725.8 193.994325   0.45718 
 SDSS J125846.68+005722.4  194.69451   0.95623 
 SDSS J125743.16+004204.5 194.429865   0.70127 
 SDSS J125645.02+001117.6   194.1876    0.1882 
 SDSS J130115.24+001315.4 195.313485   0.22094 
 SDSS J130231.04+000733.2 195.629355   0.12589 
 SDSS J130122.19+005714.2  195.34251   0.95396 
 SDSS J130855.34-004805.8 197.230605   -0.8016 
 SDSS J130850.11-004902.3 197.208795   -0.8173 
 SDSS J130738.69-005632.8 196.911225  -0.94245 
 SDSS J130750.71-005203.9  196.96131  -0.86775 
 SDSS J130258.51-005352.7  195.74382  -0.89796 
 SDSS J130258.70-005918.0 195.744615  -0.98835 
 SDSS J130426.42+010501.1 196.110105   1.08363 
