iter	Passed	Remaining
0	68	6800412
1	152	7633265
2	233	7782376
3	310	7766922
4	395	7908243
5	483	8052111
6	574	8202747
7	648	8106861
8	737	8198237
9	828	8283518
10	918	8353617
11	1005	8378453
12	1086	8358228
13	1161	8296010
14	1257	8378831
15	1335	8345520
16	1415	8322284
17	1497	8318340
18	1580	8317968
19	1658	8293021
20	1754	8351126
21	1832	8329745
22	1922	8356268
23	2010	8375196
24	2093	8372521
25	2177	8372426
26	2264	8383602
27	2351	8397277
28	2437	8401162
29	2516	8384477
30	2595	8369534
31	2675	8358143
32	2754	8343286
33	2833	8330773
34	2908	8306175
35	2989	8301900
36	3075	8308149
37	3162	8318800
38	3255	8344614
39	3335	8336450
40	3417	8332746
41	3503	8338822
42	3584	8332446
43	3663	8323166
44	3741	8310252
45	3819	8299596
46	3894	8282794
47	3985	8299701
48	4081	8326036
49	4158	8313544
50	4243	8316664
51	4329	8321822
52	4408	8314447
53	4493	8315900
54	4575	8313745
55	4653	8304726
56	4734	8300881
57	4809	8287038
58	4891	8286292
59	4979	8294368
60	5051	8276714
61	5133	8274142
62	5215	8274087
63	5289	8260056
64	5377	8267616
65	5467	8279054
66	5546	8272438
67	5627	8270806
68	5705	8263160
69	5790	8266502
70	5868	8259797
71	5948	8255479
72	6034	8260533
73	6115	8258066
74	6198	8258798
75	6286	8264823
76	6366	8262241
77	6455	8269319
78	6545	8278655
79	6624	8273496
80	6708	8275625
81	6785	8268372
82	6863	8261884
83	6949	8266469
84	7029	8262443
85	7124	8276951
86	7200	8268974
87	7279	8264409
88	7355	8257214
89	7438	8257962
90	7523	8259707
91	7608	8262124
92	7693	8264562
93	7770	8258596
94	7849	8254590
95	7928	8251121
96	8016	8255926
97	8092	8249546
98	8178	8252722
99	8257	8249652
100	8335	8244704
101	8421	8247811
102	8499	8243777
103	8598	8259475
104	8688	8265852
105	8765	8260910
106	8840	8253595
107	8945	8274228
108	9021	8268030
109	9100	8263780
110	9171	8253150
111	9248	8248346
112	9334	8251039
113	9414	8249119
114	9493	8245562
115	9576	8245613
116	9651	8239867
117	9738	8243514
118	9811	8235315
119	9906	8245526
120	9991	8247421
121	10077	8249858
122	10162	8252222
123	10252	8257841
124	10328	8252244
125	10409	8251267
126	10507	8263249
127	10593	8265637
128	10676	8265809
129	10769	8273117
130	10839	8263713
131	10928	8268200
132	11038	8288330
133	11121	8288613
134	11201	8286386
135	11276	8280023
136	11362	8282435
137	11434	8274545
138	11521	8277343
139	11601	8275496
140	11684	8275505
141	11758	8268998
142	11845	8271507
143	11928	8272053
144	12001	8265154
145	12085	8265950
146	12163	8262215
147	12240	8258399
148	12314	8252472
149	12395	8251483
150	12478	8251514
151	12557	8248730
152	12627	8240379
153	12713	8242664
154	12787	8236942
155	12863	8232969
156	12946	8233495
157	13017	8226202
158	13091	8220485
159	13164	8214731
160	13243	8212822
161	13325	8212373
162	13403	8209493
163	13481	8207166
164	13564	8207231
165	13642	8204973
166	13718	8200838
167	13794	8197512
168	13873	8195400
169	13955	8194954
170	14041	8197503
171	14116	8193307
172	14194	8190637
173	14271	8188008
174	14350	8186155
175	14425	8181896
176	14502	8178912
177	14578	8175823
178	14652	8171006
179	14729	8168122
180	14814	8170242
181	14898	8171177
182	14977	8169710
183	15048	8163558
184	15126	8161390
185	15208	8161657
186	15292	8162574
187	15365	8157734
188	15437	8152727
189	15536	8161524
190	15614	8159766
191	15700	8161416
192	15776	8158706
193	15859	8158938
194	15937	8157126
195	16018	8156436
196	16098	8155505
197	16181	8156288
198	16263	8156507
199	16350	8158929
200	16430	8157948
201	16521	8162359
202	16600	8161220
203	16692	8166060
204	16767	8162378
205	16843	8159385
206	16924	8158992
207	17008	8160095
208	17095	8162534
209	17181	8164257
210	17264	8164979
211	17339	8161830
212	17410	8156496
213	17492	8156388
214	17570	8154921
215	17645	8151785
216	17730	8152860
217	17808	8151088
218	17888	8150391
219	17967	8148913
220	18051	8150273
221	18137	8151876
222	18213	8149490
223	18288	8146375
224	18368	8145394
225	18442	8141965
226	18521	8140944
227	18611	8144446
